CustomerKey,cc_num,FirstName,LastName,Gender,City,State,Job,DOB,EffectiveDate,EndDate,IsCurrent
44,4000000000000070,Perry,Carrillo,M,Port Nicoleshire,MS,"Surveyor, mining",1972-12-19,1900-01-01,9999-12-31 00:00:00,True
45,4000000000000585,Stephanie,Taylor,M,Smithton,OH,Estate agent,2004-02-27,1900-01-01,9999-12-31 00:00:00,True
46,4000000000001059,Jason,Hill,M,Kingshire,AR,Sports administrator,1973-11-16,1900-01-01,2023-12-25 00:00:00,False
47,4000000000001059,Jason,Hill,M,New James,AR,Sports administrator,1973-11-16,2023-12-26,9999-12-31 00:00:00,True
48,4000000000001081,Wanda,Campbell,F,South Henry,WY,Multimedia specialist,1950-06-10,1900-01-01,9999-12-31 00:00:00,True
49,4000000000000142,Maria,Foster,M,New Michelleton,PW,"Engineer, structural",1981-10-10,1900-01-01,9999-12-31 00:00:00,True
50,4000000000001209,Nicole,Walker,M,Samanthaside,NV,Transport planner,1962-01-11,1900-01-01,9999-12-31 00:00:00,True
51,4000000000000054,Ricky,Powell,F,Angelaborough,MT,Ambulance person,1985-10-03,1900-01-01,9999-12-31 00:00:00,True
52,4000000000001590,Ryan,Cook,M,Nelsonville,AR,Museum/gallery conservator,1984-08-24,1900-01-01,9999-12-31 00:00:00,True
53,4000000000000362,Ricky,Johnson,F,Angelamouth,VI,Chief Financial Officer,1966-09-22,1900-01-01,9999-12-31 00:00:00,True
54,4000000000000155,Derek,Chavez,M,Matthewsberg,FM,"Geologist, engineering",1968-09-28,1900-01-01,9999-12-31 00:00:00,True
55,4000000000000166,Jeffrey,Gilbert,M,Stephentown,AR,Clinical research associate,2008-06-18,1900-01-01,9999-12-31 00:00:00,True
56,4000000000000037,Eric,Campbell,M,Lake Matthew,TX,"Engineer, civil (contracting)",1983-09-02,1900-01-01,9999-12-31 00:00:00,True
57,4000000000001817,Nathan,Gray,M,West Jacquelinestad,VI,"Social research officer, government",2001-10-28,1900-01-01,9999-12-31 00:00:00,True
58,4000000000001137,Jeffrey,Scott,F,Kristenton,WI,Agricultural consultant,2000-03-27,1900-01-01,9999-12-31 00:00:00,True
59,4000000000000475,Joanna,Howard,F,Lake Jackieshire,OK,Marine scientist,1950-03-06,1900-01-01,9999-12-31 00:00:00,True
60,4000000000000787,Lisa,Garrett,M,Zamoratown,OH,Medical sales representative,2005-02-04,1900-01-01,9999-12-31 00:00:00,True
61,4000000000000029,Susan,Miller,F,North Brooke,TX,"Pharmacist, hospital",1999-02-26,1900-01-01,9999-12-31 00:00:00,True
62,4000000000001765,Anna,Day,F,Douglasland,CT,Personnel officer,1978-09-04,1900-01-01,9999-12-31 00:00:00,True
63,4000000000001708,Katrina,Cox,F,Edwardsville,UT,Dramatherapist,1956-11-29,1900-01-01,9999-12-31 00:00:00,True
64,4000000000000099,Taylor,Alexander,M,North Johnny,VI,Dramatherapist,1973-01-07,1900-01-01,9999-12-31 00:00:00,True
65,4000000000001223,David,Silva,F,Larryside,WI,"Pharmacist, hospital",1950-06-02,1900-01-01,9999-12-31 00:00:00,True
66,4000000000000049,Tina,Herrera,M,North Natalieview,HI,Building surveyor,1980-01-07,1900-01-01,2023-03-13 00:00:00,False
67,4000000000000049,Tina,Herrera,M,Lake Louis,HI,Metallurgist,1980-01-07,2023-03-14,9999-12-31 00:00:00,True
68,4000000000000230,Diane,Garcia,M,Dennisstad,ND,Mechanical engineer,1963-07-19,1900-01-01,9999-12-31 00:00:00,True
69,4000000000001541,Samuel,Garcia,M,New David,OK,Financial risk analyst,1993-11-17,1900-01-01,2024-05-06 00:00:00,False
70,4000000000001541,Samuel,Garcia,M,Caseyberg,OK,Sub,1993-11-17,2024-05-07,9999-12-31 00:00:00,True
71,4000000000000056,Martha,Torres,M,South Kristi,PA,"Engineer, civil (contracting)",1985-01-22,1900-01-01,9999-12-31 00:00:00,True
72,4000000000000285,Rhonda,Peterson,M,Ericaview,RI,Horticultural consultant,1973-06-16,1900-01-01,9999-12-31 00:00:00,True
73,4000000000000333,Angelica,Mendoza,M,Kevintown,IL,"Designer, textile",2004-04-13,1900-01-01,9999-12-31 00:00:00,True
74,4000000000000122,Jennifer,Hicks,M,Robertfort,NJ,Careers information officer,1957-02-03,1900-01-01,9999-12-31 00:00:00,True
75,4000000000001040,Cynthia,Dickson,M,Port Melissaborough,LA,Estate agent,1958-07-21,1900-01-01,9999-12-31 00:00:00,True
76,4000000000001332,Kristina,Williams,F,New Latoya,MS,"Development worker, community",1981-07-17,1900-01-01,9999-12-31 00:00:00,True
77,4000000000001715,Kathy,Dawson,M,Newtonberg,VI,Risk analyst,1942-10-29,1900-01-01,9999-12-31 00:00:00,True
78,4000000000000564,Stephen,Houston,M,Marshburgh,DE,"Development worker, community",1949-07-11,1900-01-01,2023-12-03 00:00:00,False
79,4000000000000564,Stephen,Houston,M,North Gregory,DE,Marine scientist,1949-07-11,2023-12-04,9999-12-31 00:00:00,True
80,4000000000001472,Dana,Taylor,M,South Robert,NM,"Civil engineer, consulting",1977-03-03,1900-01-01,9999-12-31 00:00:00,True
81,4000000000001461,Bradley,Stephens,F,New Oliviachester,FL,Transport planner,1940-08-04,1900-01-01,9999-12-31 00:00:00,True
82,4000000000000228,Michael,Ashley,M,South Morganton,SC,Chief Executive Officer,1966-11-01,1900-01-01,9999-12-31 00:00:00,True
83,4000000000001063,Kristina,Allen,F,Parkerstad,MH,Engineering geologist,1995-10-13,1900-01-01,9999-12-31 00:00:00,True
84,4000000000001942,Hunter,Johnson,M,Port Davidstad,CA,Ambulance person,1962-10-17,1900-01-01,9999-12-31 00:00:00,True
85,4000000000001101,Bradley,Dean,M,Nguyenshire,DC,Estate agent,1954-11-22,1900-01-01,2023-10-24 00:00:00,False
86,4000000000001101,Bradley,Dean,M,West Samantha,DC,"Geologist, engineering",1954-11-22,2023-10-25,9999-12-31 00:00:00,True
87,4000000000000695,Karen,Diaz,F,Ramirezburgh,OK,Chief Strategy Officer,1949-06-07,1900-01-01,9999-12-31 00:00:00,True
88,4000000000001681,Melissa,Cruz,F,Port Patrickmouth,AZ,Dramatherapist,1955-10-13,1900-01-01,9999-12-31 00:00:00,True
89,4000000000000941,Nathaniel,Ellis,M,Lake Michael,KY,Unknown,1954-04-08,1900-01-01,9999-12-31 00:00:00,True
90,4000000000001194,Nicole,Dougherty,M,Tiffanymouth,KY,Sports administrator,1957-03-30,1900-01-01,9999-12-31 00:00:00,True
91,4000000000000886,Christopher,Wagner,M,Johnathanview,KY,"Engineer, civil (contracting)",1998-11-20,1900-01-01,9999-12-31 00:00:00,True
92,4000000000001077,Christine,Burke,M,North Susan,GA,Chartered loss adjuster,2004-12-19,1900-01-01,9999-12-31 00:00:00,True
93,4000000000000316,Derek,May,F,Brooksfurt,NV,Horticultural consultant,1999-09-08,1900-01-01,9999-12-31 00:00:00,True
94,4000000000001658,Peter,Howard,F,West Charles,OK,Sports administrator,1956-12-07,1900-01-01,2024-03-10 00:00:00,False
95,4000000000001658,Peter,Howard,F,South Patricia,OK,Building control surveyor,1956-12-07,2024-03-11,9999-12-31 00:00:00,True
96,4000000000000762,Pamela,Wright,F,Lisaland,OK,Estate agent,1967-09-19,1900-01-01,2024-04-29 00:00:00,False
97,4000000000000762,Pamela,Wright,F,East Robert,OK,Therapeutic radiographer,1967-09-19,2024-04-30,9999-12-31 00:00:00,True
98,4000000000000486,Dalton,Crawford,M,Juliebury,MI,Museum/gallery conservator,2007-05-12,1900-01-01,9999-12-31 00:00:00,True
99,4000000000001401,Erica,Patel,F,South Alexanderborough,PW,Software engineer,1997-01-31,1900-01-01,9999-12-31 00:00:00,True
100,4000000000000819,Melissa,Estrada,F,Markland,AR,Armed forces technical officer,1947-12-02,1900-01-01,9999-12-31 00:00:00,True
101,4000000000001972,Wendy,Lopez,M,Lindsayfort,WI,Risk analyst,1977-11-11,1900-01-01,2024-08-25 00:00:00,False
102,4000000000001972,Wendy,Lopez,M,Port Scottbury,WI,Estate agent,1977-11-11,2024-08-26,9999-12-31 00:00:00,True
103,4000000000000250,Sara,Little,F,Williamville,ID,Estate agent,1994-05-29,1900-01-01,9999-12-31 00:00:00,True
104,4000000000000457,Tami,Clark,F,Stevenville,CO,"Geologist, engineering",1951-03-27,1900-01-01,9999-12-31 00:00:00,True
105,4000000000000996,Carol,Jackson,F,Moniqueport,KY,Corporate treasurer,1987-02-25,1900-01-01,9999-12-31 00:00:00,True
106,4000000000000607,Elizabeth,Rivera,F,Jefferyhaven,NJ,"Designer, furniture",2008-04-30,1900-01-01,9999-12-31 00:00:00,True
107,4000000000001805,Ann,Wilson,F,Carrollland,OK,Sports administrator,2003-10-25,1900-01-01,9999-12-31 00:00:00,True
108,4000000000000190,Danielle,Roberts,F,Smithmouth,GA,Psychiatric nurse,1995-01-14,1900-01-01,9999-12-31 00:00:00,True
109,4000000000000151,Amanda,Gibson,M,Brendastad,CT,Multimedia specialist,1986-06-07,1900-01-01,9999-12-31 00:00:00,True
110,4000000000001993,Jessica,Moyer,M,Johnfort,MP,Financial risk analyst,1988-04-02,1900-01-01,9999-12-31 00:00:00,True
111,4000000000000748,Brittany,Williams,M,New Jennifer,AL,Marine scientist,2003-10-23,1900-01-01,9999-12-31 00:00:00,True
112,4000000000000601,Amy,Morrison,M,West Shane,TX,Building control surveyor,1945-07-29,1900-01-01,9999-12-31 00:00:00,True
113,4000000000001875,Evan,Wood,M,East Thomas,VT,Chief Financial Officer,2003-03-18,1900-01-01,9999-12-31 00:00:00,True
114,4000000000000060,Brandon,Riggs,F,South Robertshire,ID,Metallurgist,1989-05-23,1900-01-01,9999-12-31 00:00:00,True
115,4000000000001457,Margaret,Hines,M,East Johnland,KY,Health physicist,1950-03-20,1900-01-01,2024-09-05 00:00:00,False
116,4000000000001457,Margaret,Hines,M,Brownmouth,KY,Local government officer,1950-03-20,2024-09-06,9999-12-31 00:00:00,True
117,4000000000000515,Dennis,Mccann,F,Schroedermouth,KY,"Designer, jewellery",1990-02-07,1900-01-01,9999-12-31 00:00:00,True
118,4000000000000761,Sara,Moore,M,South Michaelberg,KS,"Engineer, civil (contracting)",1965-06-27,1900-01-01,9999-12-31 00:00:00,True
119,4000000000000140,Roger,Wright,F,Jamesfurt,PR,"Engineer, structural",1973-05-23,1900-01-01,9999-12-31 00:00:00,True
120,4000000000001825,Brian,Davis,F,Port Michael,MO,Aid worker,1951-10-05,1900-01-01,2024-10-06 00:00:00,False
121,4000000000001825,Brian,Davis,F,New Marieborough,MO,Clinical research associate,1951-10-05,2024-10-07,9999-12-31 00:00:00,True
122,4000000000001347,Sandra,Schultz,M,Davismouth,VI,Building surveyor,1955-09-27,1900-01-01,9999-12-31 00:00:00,True
123,4000000000001489,James,Rodriguez,F,West Carriemouth,AK,"Exhibitions officer, museum/gallery",1956-10-22,1900-01-01,9999-12-31 00:00:00,True
124,4000000000000018,Jeremy,Whitehead,M,Chadbury,KY,Careers information officer,1986-01-12,1900-01-01,9999-12-31 00:00:00,True
125,4000000000001712,Emily,Wade,M,Lauramouth,MD,"Exhibitions officer, museum/gallery",1948-07-15,1900-01-01,9999-12-31 00:00:00,True
126,4000000000001895,Stacey,Peterson,F,Jamieberg,KY,"Engineer, agricultural",1981-12-04,1900-01-01,9999-12-31 00:00:00,True
127,4000000000000593,Brandi,Bender,M,Craigside,LA,"Pharmacist, hospital",2000-03-21,1900-01-01,9999-12-31 00:00:00,True
128,4000000000000293,Mark,Kennedy,M,North Tamara,GA,Financial risk analyst,1968-03-13,1900-01-01,2024-03-21 00:00:00,False
129,4000000000000293,Mark,Kennedy,M,New George,GA,"Production assistant, radio",1968-03-13,2024-03-22,9999-12-31 00:00:00,True
130,4000000000001514,Anthony,Burke,M,Brownstad,WY,Water engineer,1969-10-11,1900-01-01,9999-12-31 00:00:00,True
131,4000000000001500,Wendy,Lawson,M,New Courtney,NM,"Pharmacist, hospital",1947-02-20,1900-01-01,9999-12-31 00:00:00,True
132,4000000000001361,Allison,Campbell,F,Lake Melissa,MO,Unknown,1947-02-17,1900-01-01,9999-12-31 00:00:00,True
133,4000000000001476,Brian,Bailey,F,West Steven,MP,Hospital doctor,1998-07-30,1900-01-01,9999-12-31 00:00:00,True
134,4000000000001625,Kevin,Sanchez,M,Davidside,MH,Risk analyst,1978-12-30,1900-01-01,2024-07-16 00:00:00,False
135,4000000000001625,Kevin,Sanchez,M,Powellfurt,MH,Risk analyst,1978-12-30,2024-07-17,9999-12-31 00:00:00,True
136,4000000000001462,Rhonda,Johnson,F,Cruzstad,SD,Company secretary,1960-01-11,1900-01-01,9999-12-31 00:00:00,True
137,4000000000001602,Kari,Rowe,M,West Lindamouth,NV,Local government officer,1973-11-24,1900-01-01,9999-12-31 00:00:00,True
138,4000000000001771,Angela,Singh,M,North Ronaldland,MS,"Engineer, civil (contracting)",1949-03-03,1900-01-01,9999-12-31 00:00:00,True
139,4000000000001478,Devin,Hayden,F,South Jessica,UT,"Librarian, public",2006-03-04,1900-01-01,9999-12-31 00:00:00,True
140,4000000000000320,Nicolas,Hall,F,Reedview,ID,Cartographer,2004-04-19,1900-01-01,9999-12-31 00:00:00,True
141,4000000000000723,Christine,Nelson,M,Lopeztown,FL,"Social research officer, government",1943-11-20,1900-01-01,9999-12-31 00:00:00,True
142,4000000000000217,Brett,Castillo,M,Angelaville,VT,"Production assistant, radio",1998-01-26,1900-01-01,9999-12-31 00:00:00,True
143,4000000000001215,Kathryn,Garrett,M,North Territon,MS,Therapeutic radiographer,1961-10-29,1900-01-01,9999-12-31 00:00:00,True
144,4000000000001183,Corey,Thomas,M,Jonathanville,AR,Geophysicist/field seismologist,1954-04-17,1900-01-01,9999-12-31 00:00:00,True
145,4000000000001731,Jessica,Meyer,F,Phillipsville,VT,Sub,1988-07-28,1900-01-01,9999-12-31 00:00:00,True
146,4000000000000642,Lacey,Hughes,M,Keithton,SD,"Engineer, civil (contracting)",1962-07-24,1900-01-01,9999-12-31 00:00:00,True
147,4000000000000690,Jeffrey,Ray,F,New Laurenfort,ND,Transport planner,1942-09-22,1900-01-01,9999-12-31 00:00:00,True
148,4000000000000284,April,Hoffman,F,Foxmouth,HI,Trade mark attorney,1971-10-15,1900-01-01,9999-12-31 00:00:00,True
149,4000000000000597,Shaun,Jensen,F,Lake Deborah,MS,Careers information officer,1956-09-04,1900-01-01,9999-12-31 00:00:00,True
150,4000000000000242,Kara,Moore,M,East Melindamouth,AZ,"Designer, textile",1949-02-05,1900-01-01,2024-08-11 00:00:00,False
151,4000000000000242,Kara,Moore,M,Suzanneland,AZ,"Geneticist, molecular",1949-02-05,2024-08-12,9999-12-31 00:00:00,True
152,4000000000000859,Amanda,Morales,M,Allenbury,OH,"Exhibitions officer, museum/gallery",1951-05-01,1900-01-01,2023-05-16 00:00:00,False
153,4000000000000859,Amanda,Morales,M,Valerieland,OH,"Civil engineer, consulting",1951-05-01,2023-05-17,9999-12-31 00:00:00,True
154,4000000000000530,Michelle,Green,M,Jacobhaven,WV,Cartographer,1956-11-10,1900-01-01,9999-12-31 00:00:00,True
155,4000000000001729,William,Jackson,M,New Amandaborough,AL,Chief Executive Officer,1973-09-28,1900-01-01,2024-10-17 00:00:00,False
156,4000000000001729,William,Jackson,M,Williamston,AL,Careers information officer,1973-09-28,2024-10-18,9999-12-31 00:00:00,True
157,4000000000001621,Kevin,Miller,M,Gardnerfurt,WY,"Psychologist, counselling",2000-02-12,1900-01-01,9999-12-31 00:00:00,True
158,4000000000001389,Kimberly,Thomas,M,West Alejandro,MS,Health physicist,2007-03-01,1900-01-01,9999-12-31 00:00:00,True
159,4000000000001651,Johnny,Kim,F,Jeremiahburgh,NE,Estate agent,1995-11-22,1900-01-01,9999-12-31 00:00:00,True
160,4000000000000479,Megan,Morris,M,East Brendaberg,WI,"Librarian, public",1948-01-21,1900-01-01,2024-01-09 00:00:00,False
161,4000000000000479,Megan,Morris,M,Trujilloberg,WI,Estate agent,1948-01-21,2024-01-10,9999-12-31 00:00:00,True
162,4000000000000152,Jesus,Johnson,F,Rosebury,SD,"Engineer, civil (contracting)",1944-10-23,1900-01-01,9999-12-31 00:00:00,True
163,4000000000001626,Natalie,Brown,F,Martineztown,NH,Personnel officer,1995-06-17,1900-01-01,9999-12-31 00:00:00,True
164,4000000000000959,Michael,Adams,F,Ramirezland,MN,Financial risk analyst,1964-01-01,1900-01-01,9999-12-31 00:00:00,True
165,4000000000000088,Ashley,Barnett,M,Anthonymouth,HI,"Designer, jewellery",1973-09-08,1900-01-01,2024-04-22 00:00:00,False
166,4000000000000088,Ashley,Barnett,M,North Patrick,HI,Trade mark attorney,1973-09-08,2024-04-23,9999-12-31 00:00:00,True
167,4000000000000582,Travis,Underwood,M,Rodriguezborough,ID,Chartered loss adjuster,1948-09-22,1900-01-01,9999-12-31 00:00:00,True
168,4000000000000915,James,Dominguez,M,Lake Haleyfort,CO,Cartographer,2000-09-30,1900-01-01,9999-12-31 00:00:00,True
169,4000000000000685,Stacey,Vega,M,South Jillian,IA,Chief Financial Officer,1990-07-22,1900-01-01,9999-12-31 00:00:00,True
170,4000000000001149,Brian,Welch,F,Robertside,VI,Health physicist,1961-03-20,1900-01-01,9999-12-31 00:00:00,True
171,4000000000001717,Samantha,Strong,M,Davidside,IA,Building control surveyor,1988-12-16,1900-01-01,9999-12-31 00:00:00,True
172,4000000000001027,David,Cole,M,Ramoston,AZ,Engineering geologist,1952-07-18,1900-01-01,9999-12-31 00:00:00,True
173,4000000000001153,Nicole,Miller,M,Peterberg,NC,"Engineer, structural",2008-01-04,1900-01-01,9999-12-31 00:00:00,True
174,4000000000001940,Melissa,Silva,M,Amandaborough,WI,Water engineer,1996-05-31,1900-01-01,9999-12-31 00:00:00,True
175,4000000000000931,Hector,Porter,F,Lake Margaretport,MI,"Civil engineer, consulting",1969-01-02,1900-01-01,9999-12-31 00:00:00,True
176,4000000000001678,Kevin,Tran,F,West Jennyberg,AZ,Chief Executive Officer,2007-01-21,1900-01-01,9999-12-31 00:00:00,True
177,4000000000000945,Javier,Wells,F,Ramirezchester,WA,Geophysicist/field seismologist,1999-11-21,1900-01-01,9999-12-31 00:00:00,True
178,4000000000001216,Pamela,Steele,F,North Samantha,NV,"Psychologist, counselling",1944-03-27,1900-01-01,2024-03-04 00:00:00,False
179,4000000000001216,Pamela,Steele,F,Robertsshire,NV,Corporate treasurer,1944-03-27,2024-03-05,9999-12-31 00:00:00,True
180,4000000000001271,James,Moran,F,Hilltown,FL,Company secretary,1970-11-03,1900-01-01,2024-07-09 00:00:00,False
181,4000000000001271,James,Moran,F,Lake Jill,FL,Metallurgist,1970-11-03,2024-07-10,9999-12-31 00:00:00,True
182,4000000000000025,Todd,Lewis,F,Barreraburgh,MS,Geophysicist/field seismologist,1940-08-27,1900-01-01,9999-12-31 00:00:00,True
183,4000000000000188,Vincent,Whitaker,M,Charleston,NE,"Exhibitions officer, museum/gallery",1941-10-13,1900-01-01,9999-12-31 00:00:00,True
184,4000000000000930,Joseph,Cole,M,East Cheryl,AZ,"Social research officer, government",1981-01-31,1900-01-01,9999-12-31 00:00:00,True
185,4000000000000706,Rebecca,Miller,F,Jeremymouth,SD,Professor Emeritus,1960-05-02,1900-01-01,9999-12-31 00:00:00,True
186,4000000000001733,Victoria,Dennis,F,West Lindabury,VA,Environmental health practitioner,1945-07-26,1900-01-01,9999-12-31 00:00:00,True
187,4000000000001302,Keith,Johnson,F,Matthewborough,ND,"Pharmacist, hospital",1944-03-10,1900-01-01,9999-12-31 00:00:00,True
188,4000000000001044,Amber,Gonzalez,F,Kinghaven,NH,"Librarian, public",1986-03-17,1900-01-01,9999-12-31 00:00:00,True
189,4000000000000354,John,Davenport,F,Rhodesside,MA,Air traffic controller,1966-08-18,1900-01-01,9999-12-31 00:00:00,True
190,4000000000001661,Jose,Cook,F,East Jamesmouth,WV,Air traffic controller,1985-08-25,1900-01-01,9999-12-31 00:00:00,True
191,4000000000001544,Jasmine,Knapp,F,New Patrickberg,NH,"Engineer, structural",1983-09-07,1900-01-01,9999-12-31 00:00:00,True
192,4000000000001084,Gloria,Reeves,M,Fitzgeraldview,CA,"Engineer, manufacturing systems",1946-12-29,1900-01-01,9999-12-31 00:00:00,True
193,4000000000000292,Brent,Stein,M,Lake Jesse,CT,Chartered loss adjuster,1968-08-19,1900-01-01,9999-12-31 00:00:00,True
194,4000000000001686,Erica,Garrison,F,Colemanshire,WI,Theme park manager,1975-10-27,1900-01-01,2023-07-17 00:00:00,False
195,4000000000001686,Erica,Garrison,F,Port Paulshire,WI,Careers information officer,1975-10-27,2023-07-18,9999-12-31 00:00:00,True
196,4000000000000778,Thomas,Rivera,M,East Amy,WV,"Designer, furniture",1958-02-09,1900-01-01,9999-12-31 00:00:00,True
197,4000000000000717,Kevin,Smith,M,West Justin,ND,"Geneticist, molecular",1941-01-27,1900-01-01,9999-12-31 00:00:00,True
198,4000000000000117,Michelle,Bryan,M,Lake Mollymouth,MT,Ambulance person,1944-03-13,1900-01-01,9999-12-31 00:00:00,True
199,4000000000001915,Eric,Frye,F,Valdezchester,WI,Museum/gallery conservator,1989-12-11,1900-01-01,9999-12-31 00:00:00,True
200,4000000000001810,Gregory,Taylor,M,Robertborough,KY,"Designer, jewellery",2000-08-20,1900-01-01,9999-12-31 00:00:00,True
201,4000000000001554,Jay,Murphy,M,North Jessica,DC,Marine scientist,1958-09-19,1900-01-01,9999-12-31 00:00:00,True
202,4000000000001826,Steven,Hopkins,F,East Kevin,CO,English as a second language teacher,1953-01-26,1900-01-01,9999-12-31 00:00:00,True
203,4000000000001467,Justin,Hutchinson,M,Sabrinastad,KS,Sports administrator,1995-09-05,1900-01-01,9999-12-31 00:00:00,True
